symbol,company_name,exchange,sector,cik,active,effective_from,effective_to
AAPL,Apple Inc.,NASDAQ,Technology,0000320193,true,2021-01-01,
MSFT,Microsoft Corporation,NASDAQ,Technology,0000789019,true,2021-01-01,
NVDA,NVIDIA Corporation,NASDAQ,Technology,0001045810,true,2021-01-01,
AMZN,Amazon.com Inc.,NASDAQ,Consumer Discretionary,0001018724,true,2021-01-01,
GOOGL,Alphabet Inc. Class A,NASDAQ,Communication Services,0001652044,true,2021-01-01,
META,Meta Platforms Inc.,NASDAQ,Communication Services,0001326801,true,2021-01-01,
BRK.B,Berkshire Hathaway Inc. Class B,NYSE,Financials,0001067983,true,2021-01-01,
LLY,Eli Lilly and Company,NYSE,Health Care,0000059478,true,2021-01-01,
AVGO,Broadcom Inc.,NASDAQ,Technology,0001730168,true,2021-01-01,
JPM,JPMorgan Chase & Co.,NYSE,Financials,0000019617,true,2021-01-01,
V,Visa Inc.,NYSE,Financials,0001403161,true,2021-01-01,
UNH,UnitedHealth Group Incorporated,NYSE,Health Care,0000731766,true,2021-01-01,
XOM,Exxon Mobil Corporation,NYSE,Energy,0000034088,true,2021-01-01,
WMT,Walmart Inc.,NYSE,Consumer Staples,0000104169,true,2021-01-01,
MA,Mastercard Incorporated,NYSE,Financials,0001141391,true,2021-01-01,
COST,Costco Wholesale Corporation,NASDAQ,Consumer Staples,0000909832,true,2021-01-01,
PG,The Procter & Gamble Company,NYSE,Consumer Staples,0000080424,true,2021-01-01,
JNJ,Johnson & Johnson,NYSE,Health Care,0000200406,true,2021-01-01,
HD,The Home Depot Inc.,NYSE,Consumer Discretionary,0000354950,true,2021-01-01,
ORCL,Oracle Corporation,NYSE,Technology,0001341439,true,2021-01-01,
ABBV,AbbVie Inc.,NYSE,Health Care,0001551152,true,2021-01-01,
BAC,Bank of America Corporation,NYSE,Financials,0000070858,true,2021-01-01,
KO,The Coca-Cola Company,NYSE,Consumer Staples,0000021344,true,2021-01-01,
NFLX,Netflix Inc.,NASDAQ,Communication Services,0001065280,true,2021-01-01,
CRM,Salesforce Inc.,NYSE,Technology,0001108524,true,2021-01-01,
AMD,Advanced Micro Devices Inc.,NASDAQ,Technology,0000002488,true,2021-01-01,
PEP,PepsiCo Inc.,NASDAQ,Consumer Staples,0000077476,true,2021-01-01,
TMO,Thermo Fisher Scientific Inc.,NYSE,Health Care,0000097745,true,2021-01-01,
LIN,Linde plc,NASDAQ,Materials,0001707925,true,2021-01-01,
ADBE,Adobe Inc.,NASDAQ,Technology,0000796343,true,2021-01-01,
CSCO,Cisco Systems Inc.,NASDAQ,Technology,0000858877,true,2021-01-01,
MCD,McDonald's Corporation,NYSE,Consumer Discretionary,0000063908,true,2021-01-01,
DIS,The Walt Disney Company,NYSE,Communication Services,0001744489,true,2021-01-01,
CAT,Caterpillar Inc.,NYSE,Industrials,0000018230,true,2021-01-01,
SPY,SPDR S&P 500 ETF Trust,NYSE Arca,Benchmark,,true,2021-01-01,
